method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
Matheuristic,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I1",,,,25.70424485206604,,2414589.0,5.086103916168213,20.618140935897827
ILP,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I2",2401199.6666666665,2401405.0,5.0,44.13794803619385,0.008550549921129,,,
MILP,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I2",2401199.375,2401239.0,4.0,46.64617896080017,0.001650189756205,,,
Matheuristic,400,AD_2,"SWNN400DAD_2R2e-05P(25, 200)I2",,,,24.86375904083252,,2411300.0,7.134340047836304,17.729418992996216
ILP,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I0",3631924.75,3631940.0,6.0,156.834214925766,0.0004198857910648,,,
MILP,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I0",3631924.5625,3631961.0,3.0,21.998598098754883,0.0010032459048982,,,
Matheuristic,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I0",,,,9.470365762710571,,3598484.0,6.328762769699097,3.1416029930114746
ILP,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I1",3648139.888888886,3648499.0,3.0,30.690925121307373,0.0098427082236777,,,
MILP,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I1",3648139.888888889,3648329.0,3.0,36.007506132125854,0.0051834993804288,,,
Matheuristic,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I1",,,,19.409928798675537,,3613646.0,6.188579082489014,13.221349716186523
ILP,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I2",3648100.673469392,3648356.0,2.0,11.115004062652588,0.0069983995697756,,,
MILP,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I2",3648100.673469387,3648341.0,4.0,63.79238295555115,0.0065872825652136,,,
Matheuristic,400,AD_2,"SWNN400DAD_2R3e-05P(25, 200)I2",,,,35.34199023246765,,3613492.0,6.39797306060791,28.94401717185974
